workload_kind,profile,comparison,throughput_ratio,dynamic_priority_throughput,baseline_throughput,note
ycsb,low,op-dynamic-priority_vs_mvcc-full,0.9899469343506198,20.83884178594246,21.050463477228924,
ycsb,low,op-dynamic-priority_vs_occ,0.9380653417143732,20.83884178594246,22.214701747596997,
ycsb,low,op-dynamic-priority_vs_op-dynamic,1.0073187551648013,20.83884178594246,20.687435510453835,
ycsb,low,op-dynamic-priority_vs_op-static,0.960353401511122,20.83884178594246,21.699138830718372,
ycsb,low,op-dynamic-priority_vs_op-static-priority,0.966410186425305,20.83884178594246,21.563143765096395,
ycsb,low,op-dynamic-priority_vs_tictoc-full,1.0143362682005064,20.83884178594246,20.54431300471176,
ycsb,low,tx-dynamic-priority_vs_mvcc-full,1.0076731168173765,21.21198614254962,21.050463477228924,
ycsb,low,tx-dynamic-priority_vs_occ,0.9548625222863574,21.21198614254962,22.214701747596997,
ycsb,low,tx-dynamic-priority_vs_op-dynamic-priority,1.0179061946167698,21.21198614254962,20.83884178594246,
ycsb,low,tx-dynamic-priority_vs_tictoc-full,1.0324991708257527,21.21198614254962,20.54431300471176,
ycsb,low,tx-dynamic-priority_vs_tx-dynamic,1.002718984413846,21.21198614254962,21.154467475201336,
ycsb,low,tx-dynamic-priority_vs_tx-static,0.9768769316325281,21.21198614254962,21.71408235334288,
