agent_latency_p95_s,agent_latency_p99_s,attempts_per_task,commit_rate,commit_rate_stddev,committed_throughput,conflict_aborts,mechanism,prelock_wait_per_task_s,priority_enabled,profile,scope,strategy,throughput_stddev,variant,workload_kind,source_dir
11.398521809499986,12.557458848800005,1.0933333333333333,1.0,0.0,4.731589087736442,28,baseline,0.0,False,low,baseline,mvcc-full,0.35533721604986546,baseline:mvcc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_low_baseline_mvcc_20260701_15
11.550730205150002,12.824520341139998,1.0366666666666666,1.0,0.0,4.68262956954743,11,baseline,0.0,False,low,baseline,tictoc-full,0.33483263352738235,baseline:tictoc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_low_baseline_tictoc_20260701_15
8.83018425900002,9.268730177230056,1.0066666666666666,1.0,0.0,6.13714933447404,2,static,0.01170087506666808,False,low,op,adaptive-op-strict,0.1348355260699944,op-static,tpcc,atcc_ablation_threshold32_formal_tpcc_low_op_static_20260701_15
8.840011582400074,9.08735351817993,1.0133333333333334,1.0,0.0,6.197962110392789,4,static,0.009549026283336086,True,low,op,adaptive-op-strict,0.11641014485880959,op-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_low_op_static_priority_20260701_15
9.198358834700059,9.730882389959975,1.0166666666666666,1.0,0.0,5.784474209893516,5,dynamic,0.007146372943336701,False,low,op,adaptive-op-strict,0.13731486840201299,op-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_low_op_dynamic_20260701_15
9.184257877650122,9.58114987031996,1.0233333333333334,1.0,0.0,5.865371584414554,7,dynamic,0.006690048786670105,True,low,op,adaptive-op-strict,0.1293050366304563,op-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_low_op_dynamic_priority_20260701_15
9.257486482299976,9.889067957090006,1.0166666666666666,1.0,0.0,5.803356263144593,5,static,0.020779460016663052,False,low,tx,transaction-atcc-strict,0.2699857641652704,tx-static,tpcc,atcc_ablation_threshold32_formal_tpcc_low_tx_static_20260701_15
9.804862346700066,10.257607503300093,1.0066666666666666,1.0,0.0,5.494501887757502,2,static,0.017886385696651814,True,low,tx,transaction-atcc-strict,0.1827340670155773,tx-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_low_tx_static_priority_20260701_15
10.446060808899995,10.949781224560038,1.0233333333333334,1.0,0.0,5.152394618025328,7,dynamic,0.0053882461866624,False,low,tx,transaction-atcc-strict,0.17456162167592773,tx-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_low_tx_dynamic_20260701_15
10.778528192699628,11.473584889079685,1.0266666666666666,1.0,0.0,5.057683146449844,8,dynamic,0.0034798740866555516,True,low,tx,transaction-atcc-strict,0.17510135772486543,tx-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_low_tx_dynamic_priority_20260701_15
5.60789894940005,5.916249197879967,3.69,0.8666666666666667,0.04999999999999999,8.435230357214481,847,baseline,0.0,False,medium,baseline,occ,1.1286124633166585,baseline:occ,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_baseline_occ_20260701_15
7.4466443637000195,8.558298483149994,3.8766666666666665,0.8866666666666667,0.04624812308503869,6.902438679510714,897,baseline,0.0,False,medium,baseline,mvcc-full,1.3169334281117517,baseline:mvcc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_baseline_mvcc_20260701_15
6.143746639699997,6.849798237200001,3.5766666666666667,0.9,0.042491829279939886,8.01282683110188,803,baseline,0.0,False,medium,baseline,tictoc-full,0.9784299474250814,baseline:tictoc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_baseline_tictoc_20260701_15
2.49650698835012,2.7962036841800364,1.4266666666666667,1.0,0.0,20.70364342917808,128,static,0.05282432173000264,False,medium,op,adaptive-op-strict,1.4705535015701978,op-static,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_op_static_20260701_15
2.2262148744000343,2.4185937349300044,1.37,1.0,0.0,23.43616524813827,111,static,0.049574865643345824,True,medium,op,adaptive-op-strict,2.0755522486441618,op-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_op_static_priority_20260701_15
2.446659172049772,2.7603098648101874,1.44,1.0,0.0,22.388715304895932,132,dynamic,0.049066190393350556,False,medium,op,adaptive-op-strict,3.2043558686857665,op-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_op_dynamic_20260701_15
2.5093912147503716,2.766641995809877,1.4666666666666666,1.0,0.0,19.92066049538049,140,dynamic,0.05355821259664178,True,medium,op,adaptive-op-strict,1.1379588275005728,op-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_op_dynamic_priority_20260701_15
2.4282322550999886,2.8318477663401103,1.0633333333333332,1.0,0.0,22.43555896433127,19,static,0.08601526568333914,False,medium,tx,transaction-atcc-strict,3.176213305286287,tx-static,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_tx_static_20260701_15
2.7249276842001797,3.0241209035501107,1.0533333333333332,1.0,0.0,21.035106183920515,16,static,0.08958292637999724,True,medium,tx,transaction-atcc-strict,2.1142350725197097,tx-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_tx_static_priority_20260701_15
2.701212568250185,2.9823829010399185,1.6933333333333334,1.0,0.0,20.121474912178005,208,dynamic,0.04131139411667543,False,medium,tx,transaction-atcc-strict,1.4106444697064935,tx-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_tx_dynamic_20260701_15
2.2926995943498243,2.4540158355199853,1.5933333333333333,1.0,0.0,22.702947071580557,178,dynamic,0.03574501278999833,True,medium,tx,transaction-atcc-strict,1.5004020834926375,tx-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_medium_tx_dynamic_priority_20260701_15
9.097989932449996,9.594668742580003,8.0,0.0,0.0,0.0,2400,baseline,0.0,False,high,baseline,occ,0.0,baseline:occ,tpcc,atcc_ablation_threshold32_formal_tpcc_high_baseline_occ_20260701_15
8.202674600449996,8.727965927710013,8.0,0.0,0.0,0.0,2400,baseline,0.0,False,high,baseline,mvcc-full,0.0,baseline:mvcc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_high_baseline_mvcc_20260701_15
8.262458463900005,8.622970405970007,8.0,0.0,0.0,0.0,2400,baseline,0.0,False,high,baseline,tictoc-full,0.0,baseline:tictoc-full,tpcc,atcc_ablation_threshold32_formal_tpcc_high_baseline_tictoc_20260701_15
3.56105442825035,3.8058462820498695,1.63,1.0,0.0,15.843216740514748,189,static,0.14825933419333068,False,high,op,adaptive-op-strict,0.8203397024207248,op-static,tpcc,atcc_ablation_threshold32_formal_tpcc_high_op_static_20260701_15
3.452925390850123,3.605435198119775,1.5566666666666666,1.0,0.0,16.424134248251455,167,static,0.14301183307001034,True,high,op,adaptive-op-strict,0.6469544954685968,op-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_high_op_static_priority_20260701_15
3.258537565350094,3.474231336089851,2.1266666666666665,0.9933333333333333,0.009128709291752798,17.098625006226516,340,dynamic,0.08441024177668775,False,high,op,adaptive-op-strict,0.6543184395423978,op-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_high_op_dynamic_20260701_15
3.2596571755499992,3.4566326015299973,2.066666666666667,0.9833333333333333,0.016666666666666663,17.319698848848006,325,dynamic,0.09172684841666687,True,high,op,adaptive-op-strict,1.1556916916683195,op-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_high_op_dynamic_priority_20260701_15
3.46714060125,4.067025919049997,1.0533333333333332,1.0,0.0,16.52237915098755,16,static,0.17252719114666662,False,high,tx,transaction-atcc-strict,1.595812238103915,tx-static,tpcc,atcc_ablation_threshold32_formal_tpcc_high_tx_static_20260701_15
3.7066835893,4.263359260729994,1.0466666666666666,1.0,0.0,14.95427712720481,14,static,0.18637466782666684,True,high,tx,transaction-atcc-strict,1.631999206696602,tx-static-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_high_tx_static_priority_20260701_15
3.1513109788000104,3.5324013283099975,1.85,0.99,0.014907119849998601,17.475366940173522,258,dynamic,0.10318605623666699,False,high,tx,transaction-atcc-strict,1.5654261220834158,tx-dynamic,tpcc,atcc_ablation_threshold32_formal_tpcc_high_tx_dynamic_20260701_15
2.900487245399997,3.1793458338999994,1.8266666666666667,1.0,0.0,18.62612377411654,248,dynamic,0.09103035672333355,True,high,tx,transaction-atcc-strict,2.0362360709074268,tx-dynamic-priority,tpcc,atcc_ablation_threshold32_formal_tpcc_high_tx_dynamic_priority_20260701_15
