profile,strategy,throughput,commit_rate,attempts_per_task,p99_latency_s,conflict_aborts,wasted_attempts_per_task,optimistic_ops,pessimistic_ops,lock_wait_s
ycsb-high,transaction-atcc-strict,50.49987103763761,1.0,1.0,0.9481216794699997,0,0.0,389,211,0.012131650999975818
ycsb-low,occ,29.913154618896108,1.0,1.0,1.7059627659399996,0,0.0,0,0,0.0
ycsb-low,2pl-nowait,26.153503634150496,1.0,1.0666666666666667,1.9957299057399998,4,0.06666666666666667,0,0,0.0
ycsb-low,2pl-wait-die,24.25450160245066,1.0,1.0666666666666667,2.1602472093999996,4,0.06666666666666667,0,0,0.0
ycsb-low,mvcc-full,28.26371346108989,1.0,1.0,1.8853271832599998,0,0.0,0,0,0.0
ycsb-low,silo-full,22.983404162292267,1.0,1.1166666666666667,2.14613177182,7,0.11666666666666667,0,0,0.0
ycsb-low,tictoc-full,27.187556862775157,1.0,1.0,1.9907850113899992,0,0.0,0,0,0.0
ycsb-low,adaptive-op-strict,26.14694848961025,1.0,1.0333333333333334,2.02576969144,2,0.03333333333333333,1820,28,0.05417015999999819
ycsb-low,transaction-atcc-strict,24.012330139427963,1.0,1.05,2.157971321849998,3,0.05,1875,3,4.834299999956215e-05
ycsb-medium,occ,9.495050428563195,0.8333333333333334,4.1,5.043633508520002,196,3.2666666666666666,0,0,0.0
ycsb-medium,2pl-nowait,5.779335713734226,0.65,5.35,6.392587727329993,282,4.7,0,0,0.0
ycsb-medium,2pl-wait-die,5.6165379410016945,0.7333333333333333,4.916666666666667,7.181820271979995,251,4.183333333333334,0,0,0.0
ycsb-medium,mvcc-full,35.627157909120726,1.0,1.0,1.2126920610500007,0,0.0,0,0,0.0
ycsb-medium,silo-full,8.669474859844662,0.8666666666666667,3.95,5.385319276839999,185,3.0833333333333335,0,0,0.0
ycsb-medium,tictoc-full,36.37307250859381,1.0,1.0,1.4459322220499948,0,0.0,0,0,0.0
ycsb-medium,adaptive-op-strict,35.26082717416539,1.0,1.0,1.162336907970007,0,0.0,678,0,0.0
ycsb-medium,transaction-atcc-strict,36.3987886813144,1.0,1.0,1.2467378314799933,0,0.0,632,46,0.011058021999986067
